f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-10 0.005359 10000 1956 2000.000000
1+1E-0.187942 1+1E-10 0.005461 10000 1976 2000.000000
1+1E-0.546643 1+1E-10 0.005683 10000 1978 2000.000000
1+1E-0.875664 1+1E-10 0.005790 10000 1970 2000.000000
1+1E-1.190478 1+1E-10 0.005833 10000 1971 2000.000000
1+1E-1.498346 1+1E-10 0.005837 10000 1943 2000.000000
1+1E-1.802783 1+1E-10 0.005808 10000 1897 2000.000000
1+1E-2.105512 1+1E-10 0.005767 10000 1849 2000.000000
1+1E-2.407391 1+1E-10 0.005759 10000 1901 2000.000000
1+1E-2.708846 1+1E-10 0.005791 10000 1852 2000.000000
1+1E-3.010088 1+1E-10 0.011485 20000 3693 4000.000000
1+1E-3.311224 1+1E-10 0.005762 10000 1793 2000.000000
1+1E-3.612307 1+1E-10 0.005739 10000 1635 2000.000000
1+1E-3.913363 1+1E-10 0.005731 10000 1779 2000.000000
1+1E-4.214407 1+1E-10 0.005824 10000 1815 2000.000000
1+1E-4.515443 1+1E-10 0.011801 20000 3457 4000.000000
1+1E-4.816477 1+1E-10 0.006092 10000 1748 2000.000000
1+1E-5.117508 1+1E-10 0.011682 20000 3699 4000.000000
1+1E-5.418539 1+1E-10 0.005850 10000 1764 2000.000000
1+1E-5.719570 1+1E-10 0.005793 10000 1612 2000.000000
1+1E-6.020600 1+1E-10 0.005784 10000 1630 2000.000000
1+1E-6.321630 1+1E-10 0.005842 10000 1788 2000.000000
1+1E-6.622660 1+1E-10 0.005811 10000 1772 2000.000000
1+1E-6.923690 1+1E-10 0.005783 10000 1664 2000.000000
1+1E-7.224720 1+1E-10 0.017556 30000 5108 6000.000000
1+1E-7.525750 1+1E-10 0.005861 10000 1746 2000.000000
1+1E-7.826780 1+1E-10 0.005858 10000 1616 2000.000000
1+1E-8.127810 1+1E-10 0.005872 10000 1720 2000.000000
1+1E-8.428840 1+1E-10 0.005954 10000 1615 2000.000000
1+1E-8.729870 1+1E-10 0.005758 10000 1742 2000.000000
1+1E-9.030900 1+1E-10 0.005717 10000 1710 2000.000000
1+1E-9.331930 1+1E-10 0.005722 10000 1787 2000.000000
1+1E-9.632960 1+1E-10 0.005743 10000 1737 2000.000000
1+1E-9.933990 1+1E-10 0.005729 10000 1689 2000.000000
0.226031
