f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-3 0.005613 10000 1964 2000.000000
1+1E-0.187942 1+1E-3 0.005694 10000 1983 2000.000000
1+1E-0.546643 1+1E-3 0.005869 10000 1957 2000.000000
1+1E-0.875664 1+1E-3 0.006296 10000 1965 2000.000000
1+1E-1.190478 1+1E-3 0.006131 10000 1981 2000.000000
1+1E-1.498346 1+1E-3 0.006023 10000 1947 2000.000000
1+1E-1.802783 1+1E-3 0.006318 10000 1927 2000.000000
1+1E-2.105512 1+1E-3 0.005982 10000 1894 2000.000000
1+1E-2.407391 1+1E-3 0.005819 10000 1858 2000.000000
1+1E-2.708846 1+1E-3 0.011904 20000 3613 4000.000000
0.065812
