f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-4 0.005560 10000 1979 2000.000000
1+1E-0.187942 1+1E-4 0.005941 10000 1986 2000.000000
1+1E-0.546643 1+1E-4 0.005806 10000 1973 2000.000000
1+1E-0.875664 1+1E-4 0.005801 10000 1973 2000.000000
1+1E-1.190478 1+1E-4 0.005914 10000 1929 2000.000000
1+1E-1.498346 1+1E-4 0.005889 10000 1944 2000.000000
1+1E-1.802783 1+1E-4 0.005825 10000 1938 2000.000000
1+1E-2.105512 1+1E-4 0.005963 10000 1852 2000.000000
1+1E-2.407391 1+1E-4 0.006104 10000 1863 2000.000000
1+1E-2.708846 1+1E-4 0.006102 10000 1674 2000.000000
1+1E-3.010088 1+1E-4 0.006086 10000 1764 2000.000000
1+1E-3.311224 1+1E-4 0.006102 10000 1776 2000.000000
1+1E-3.612307 1+1E-4 0.005865 10000 1816 2000.000000
1+1E-3.913363 1+1E-4 0.005891 10000 1617 2000.000000
0.082987
